name,total,deaths,code,AirQuality,WaterSanitation,AirPollution,Emissions,iso,Country
Pakistan,48091,1017,PAK,41.14,24.71,34.67,44.63,ZAF,South Africa
Palestine,398,2,PSE,61.19,96.52,77.91,46.75,KOR,South Korea
Panama,9977,287,PAN,94.07,100,69.34,67.77,ESP,Spain
Papua New Guinea,8,,PNG,69.91,53.09,51.73,70.88,LKA,Sri Lanka
Paraguay,833,11,PRY,64.56,24.46,48.28,72.11,SDN,Sudan
Peru,104020,3024,PER,75.24,40.14,68.9,35.74,SUR,Suriname
Philippines,13221,842,PHL,42.3,9.36,48.33,62.49,SWZ,Swaziland
Poland,19739,962,POL,92.84,96.88,64.17,86.8,SWE,Sweden
Portugal,29660,1263,PRT,91.06,99.99,98.7,90.55,CHE,Switzerland
Qatar,37097,16,QAT,69.04,69.71,89.75,82.23,TWN,Taiwan
Réunion,447,1,REU,23.22,29.9,49.45,60.73,TJK,Tajikistan
Romania,17387,1151,ROU,60.55,11.8,50.76,43.1,TZA,Tanzania
Russia,308705,2972,RUS,37.9,59.37,48.79,45.75,THA,Thailand
Rwanda,314,,RWA,64.77,22.86,17.85,45.01,TLS,Timor-Leste
S. Korea,11122,264,KOR,50.08,12.92,49.44,43.04,TGO,Togo
Saint Kitts and Nevis,15,,KNA,68.96,46.97,63.12,49.38,TON,Tonga
Saint Lucia,18,,LCA,93.91,56.29,50.27,50.02,TTO,Trinidad and Tobago
Saint Martin,40,3,MAF,95.45,57.6,63.53,51.3,TUN,Tunisia
Saint Pierre Miquelon,1,,SPM,78.2,59.28,44.41,39.99,TUR,Turkey
San Marino,656,41,SMR,87.82,45.96,72.26,81.39,TKM,Turkmenistan
Sao Tome and Principe,251,8,STP,42.43,13.1,57.53,38.87,UGA,Uganda
Saudi Arabia,62545,339,SAU,64.21,60.89,40.18,37.59,UKR,Ukraine
Senegal,2714,30,SEN,72.93,63.27,54.55,27.12,ARE,United Arab Emirates
Serbia,10833,235,SRB,94.43,100,82.87,63.06,GBR,United Kingdom
