code,iso,Country,EPIcurrent,EPI.baseline,HLT.current,HLT.baseline,AIRcurrent,AIR.baseline,H2O.current,H2O.baseline,HMT.current,HMT.baseline,ECO.current,ECO.baseline,BDH.current,BDH.baseline,FRT.current,FRT.baseline,FSH.current,FSH.baseline,CCE.current,CCE.baseline,APE.current,APE.baseline,WRS.current,WRS.baseline,AGR.current,AGR.baseline,HAD.current,HAD.baseline,PME.current,PME.baseline,PMW.current,PMW.baseline,USD.current,USD.baseline,UWD.current,UWD.baseline,PBD.current,PBD.baseline,MPA.current,MPA.baseline,TBN.current,TBN.baseline,TBG.current,TBG.baseline,SPI.current,SPI.baseline,PAR.current,PAR.baseline,SHI.current,SHI.baseline,TCL.current,TCL.baseline,FSS.current,FSS.baseline,MTR.current,MTR.baseline,DCT.current,DCT.baseline,DPT.current,DPT.baseline,DMT.current,DMT.baseline,DNT.current,DNT.baseline,DBT.current,DBT.baseline,DST.current,DST.baseline,DXT.current,DXT.baseline,WWT.current,WWT.baseline,SNM.current,SNM.baseline
70,BIH,Bosnia and Herzegovina,41.84,41.13,63.87,66.25,60.37,66,71.54,68.26,63.39,57.51,27.15,24.38,26.93,18.33,49.31,54.57,,,26.8,26.33,30.79,23.5,0,0,33.09,33.09,28.68,21.76,80.39,97.96,82.59,93.02,74.44,68.82,68.63,67.7,63.39,57.51,,,8.1,2.29,13.54,1.74,11.13,0.95,61.68,40.3,88.18,96.36,49.31,54.57,,,,,16.3,20.3,25.09,25.09,51.46,38.69,39.04,37.78,27.86,30.61,19,21.55,42.57,25.46,0,0,33.09,33.09
72,BWA,Botswana,51.7,51.04,37.19,38.27,43.33,49.37,21.8,13.95,49.65,39.94,61.37,59.54,98.31,96.8,57.67,26.93,,,47.24,56.14,42.46,33.81,49.56,49.56,30.36,30.36,24.29,11.49,52.48,72.2,59.58,77.04,21.5,13.25,22.09,14.65,49.65,39.94,,,100,100,100,100,95.29,95.27,100,86.61,95.91,97.27,57.67,26.93,,,,,38.41,51.48,14.56,14.56,100,100,67.73,100,34.72,49.79,52.57,31.92,32.35,35.69,49.56,49.56,30.36,30.36
76,BRA,Brazil,60.7,55.79,67.44,60.9,78.78,73.95,45.91,36.54,49.19,37.38,56.21,52.39,88.17,88.95,12.43,10.57,81.42,50.01,33.24,28.86,37.55,43.83,81.08,81.08,58.83,58.83,55.19,38.89,100,100,89.01,94.66,43.46,34.35,48.37,38.73,49.19,37.38,94.88,94.83,99.88,99.85,99.49,99.34,89.38,88.42,69.8,49.04,44.69,75.6,12.43,10.57,62.84,65.44,100,34.58,21.07,44.29,25.51,25.51,68.37,0.01,54.38,0,24.27,32.25,52.49,52.11,22.6,35.55,81.08,81.08,58.83,58.83
96,BRN,Brunei Darussalam,63.57,64.83,96.66,96.08,98.76,98.67,94.9,94.92,79.92,69.46,41.52,43.99,81.58,83.03,21.47,30.41,50.27,41.35,27.42,30.02,2.51,15.77,39.76,39.76,29.92,29.92,100,96.8,100,100,95.87,99.84,98.88,95.42,90.93,94.41,79.92,69.46,59.2,59.2,100,100,100,100,99.89,99.89,18.34,15.27,79.24,96.82,21.47,30.41,68.93,82.7,31.61,0,2.92,20.45,50.28,50.28,33.21,3.28,95.3,98.53,89.87,83.14,2.62,20.57,2.41,10.96,39.76,39.76,29.92,29.92
100,BGR,Bulgaria,67.85,64.51,69.6,68.02,68.49,67.08,71.26,70.34,74.15,66.32,66.68,62.17,93.39,79.53,34.38,35.56,62.17,35.86,56.04,61.57,52.91,50.99,93.93,93.93,43.68,43.68,41.64,33.41,85.44,89.73,87.33,89.31,76.35,76.67,66.18,64.01,74.15,66.32,98.4,74.58,99.87,80.43,99.79,79.91,100,99.67,54.48,33.41,83.33,92.73,34.38,35.56,54.73,65.46,69.61,6.26,67.1,75.83,35.93,35.93,62.4,62.79,5.35,40.37,51.16,37.79,49.15,57.74,56.66,44.25,93.93,93.93,43.68,43.68
854,BFA,Burkina Faso,42.83,47.34,44.22,40.95,61.85,60.62,8.45,0.38,29.78,28.59,41.91,51.6,85.54,82.7,,,,,26.24,45.66,28.47,54.86,0,0,28.42,28.42,4.63,1.55,100,100,99.99,100,8.19,0.4,8.71,0.36,29.78,28.59,,,92.32,88.23,92.32,88.23,88.94,84.32,51.69,49.02,85.45,91.06,,,,,,,25.38,58.63,,,37.59,19.13,19.24,4.62,0,11.31,30.57,62.08,26.37,47.64,0,0,28.42,28.42
108,BDI,Burundi,27.43,40.59,25.69,26.42,36.92,38.74,0.86,0,28.7,24.79,28.59,50.04,53.67,47.5,25.87,31.59,,,16.18,86.97,38.18,28.6,0,0,21.06,21.06,4.25,0.85,54.01,62.61,63.38,65.38,0.95,0,0.77,0,28.7,24.79,,,46.52,35.79,46.86,36.49,57.45,51.33,37.09,34.79,90.6,98.03,25.87,31.59,,,,,16.26,100,,,17.05,80.9,26.74,15.37,0.99,0.37,41.15,35.53,35.2,21.68,0,0,21.06,21.06
116,KHM,Cambodia,43.23,48.32,39.81,36.83,41.91,44.44,35.26,20.87,39.84,33.72,45.51,55.99,80.53,84.82,0,10.67,49.61,75.11,47.63,66.14,37.52,39.88,0,0,47.46,47.46,7.72,0.1,62.51,70.35,66.9,77.65,34.43,19.49,36.09,22.25,39.84,33.72,68.07,68.07,100,100,100,100,99.04,99.03,45.6,39.71,25.44,74.24,0,10.67,50.57,97.03,48.66,53.2,39.97,78.03,67.36,67.36,49.66,46.09,52.46,51.23,32.43,37.48,43.37,45.23,31.68,34.53,0,0,47.46,47.46
120,CMR,Cameroon,40.81,41.6,39.18,39.15,50.54,54.51,13.45,5.35,45.84,42.33,41.9,43.23,49.56,38.59,22.75,45.58,47.54,64.46,58.53,51.92,33.71,54.56,0,0,31.05,31.05,7.42,4.21,79.1,89.03,79.47,87.06,13.2,5.24,13.7,5.46,45.84,42.33,0,0,57.64,38.94,64,33.15,63.44,54.02,40.3,36.24,85.15,97.42,22.75,45.58,74.62,82.12,20.45,46.8,73.97,72,32.29,32.29,58.59,34.95,25.52,14.91,41.78,34.47,30.07,55.64,37.35,53.48,0,0,31.05,31.05
124,CAN,Canada,72.18,73.1,97.51,97.8,99.28,99.75,94.69,94.4,91.49,92.73,55.29,56.63,83.2,81.76,11.57,14.43,42.23,39.35,39.88,44.86,44.25,46.3,96.35,96.35,61.78,61.78,100,100,100,100,97.59,99.18,89.38,88.81,100,100,91.49,92.73,82.22,78.39,100,100,100,100,71.31,64.77,44.02,36.28,80.91,95,11.57,14.43,51.6,43.15,32.86,35.55,35.38,49.57,67.21,67.21,26.44,9.04,33.86,27.53,35.24,69.04,49.84,38.96,38.66,53.64,96.35,96.35,61.78,61.78
