Air Quality,Water and Sanitation,Air Pollution,Emissions,Heavy Metals,EPI Ranking,iso,State,COVID Total Cases,COVID Total Deaths
93.62,99.3,61.82,58.53,88.55,7,LUX,Luxembourg,3971,109
66.43,69.16,56.99,63.85,70.11,68,MKD,Macedonia,1858,110
61.04,4.04,41.21,16.23,30.08,175,MDG,Madagascar,371,2
54.79,8.28,51.51,64.88,36.52,127,MWI,Malawi,71,3
69.32,63,45.61,47.68,53.42,75,MYS,Malaysia,7009,114
81.73,57.62,30.05,44.71,56.39,111,MDV,Maldives,1186,4
63.41,2.69,53.03,55.47,33.94,147,MLI,Mali,931,55
94.4,100,57.32,67.04,48.74,4,MLT,Malta,584,6
66.23,14.67,32.58,39.84,51.25,166,MRT,Mauritania,141,4
85.88,61.05,27.74,48.06,66.37,90,MUS,Mauritius,332,10
71.9,57.58,52.73,46.84,40.46,72,MEX,Mexico,56594,6090
67.08,46.39,54.96,35.17,47.4,122,FSM,Micronesia,,
59.92,61.02,59.02,47.9,60.77,112,MDA,Moldova,6553,228
64.3,60.54,41.66,53.98,40.31,83,MNG,Mongolia,140,
69.28,78.61,59.22,46.85,79.89,65,MNE,Montenegro,324,9
81.39,42.24,50.69,49.66,37.03,54,MAR,Morocco,7133,194
61.43,16.18,48.45,23.49,31.6,135,MOZ,Mozambique,156,
36.57,31.76,76.15,76.26,46.02,138,MMR,Myanmar,199,6
60.6,15.5,46.92,59.78,46.1,79,NAM,Namibia,16,
3.94,23.54,49.58,35.11,18.43,176,NPL,Nepal,444,2
89.68,98.26,96.56,52.55,89.8,18,NLD,Netherlands,44447,5748
98.99,93.37,52.1,55.78,72.08,17,NZL,New Zealand,1503,21
72.09,41.96,30.65,58.63,54.99,97,NIC,Nicaragua,254,17
61.22,2.44,31.11,6.36,28.37,172,NER,Niger,920,58
48.08,7.75,84.51,73.85,61.39,100,NGA,Nigeria,6677,200
97.14,99.65,24.76,63.58,96.44,14,NOR,Norway,8281,234
86.19,62.84,0.65,32.71,22.06,116,OMN,Oman,6043,30
15.69,20.02,32.38,50.79,11.86,169,PAK,Pakistan,48091,1017
78.88,43.45,46.87,54.32,53.1,56,PAN,Panama,9977,287
60,18.48,22.16,55.36,54.26,164,PNG,Papua New Guinea,8,
65.39,44.96,53.42,54.05,42.09,105,PRY,Paraguay,833,11
58.21,50.38,57.76,58.04,70.87,64,PER,Peru,104020,3024
62.96,42.86,66.85,54.54,37.1,82,PHL,Philippines,13221,842
53.04,69.23,72.3,64.33,69.29,50,POL,Poland,19739,962
90.99,93.59,67.18,56.89,64.91,26,PRT,Portugal,29660,1263
76.29,72.9,86.88,68.68,54.44,32,QAT,Qatar,37097,16
23.84,10.26,46.78,59.34,46.29,157,COG,Republic of Congo,420,15
57.37,59.9,71.2,68.53,68.25,45,ROU,Romania,17387,1151
79.99,63.93,77.78,49.88,86.2,52,RUS,Russia,308705,2972
37.87,14.96,68.44,69.91,38.53,148,RWA,Rwanda,314,
84.2,47.79,29.76,40.29,39.36,104,LCA,Saint Lucia,18,
79.96,47.25,32.99,55.95,24.52,91,VCT,Saint Vincent and the Grenadines,18,
67.42,49.92,65.79,42.8,62.76,36,WSM,Samoa,,
64.07,29.32,41.99,55.13,45.76,102,STP,Sao Tome and Principe,251,8
79.91,62.38,25.4,40.47,43.17,86,SAU,Saudi Arabia,62545,339
63.78,13.67,28.39,38.73,39.92,126,SEN,Senegal,2714,30
56.67,69.73,59.76,61.77,68.53,84,SRB,Serbia,10833,235
88.03,58.28,2.63,93.25,60.41,39,SYC,Seychelles,11,
60.68,2.5,45.51,48.19,32.16,155,SLE,Sierra Leone,570,34
58.99,99,97.76,67.64,81.96,49,SGP,Singapore,29364,22
59.42,69.62,79.51,74.21,87.21,28,SVK,Slovakia,1496,28
71.25,70.59,49.85,51.16,97,34,SVN,Slovenia,1468,105
60.53,28.02,59.13,63.2,38.33,151,SLB,Solomon Islands,1573,61
41.14,24.71,34.67,44.63,53.22,142,ZAF,South Africa,18003,339
61.19,96.52,77.91,46.75,91.48,60,KOR,South Korea,11122,264
94.07,100,69.34,67.77,61.27,12,ESP,Spain,279524,27888
69.91,53.09,51.73,70.88,66.58,70,LKA,Sri Lanka,1028,9
64.56,24.46,48.28,72.11,15.78,115,SDN,Sudan,3138,121
75.24,40.14,68.9,35.74,30.29,103,SUR,Suriname,11,1
42.3,9.36,48.33,62.49,44.73,162,SWZ,Swaziland,,
92.84,96.88,64.17,86.8,100,5,SWE,Sweden,31523,3831
91.06,99.99,98.7,90.55,87.77,1,CHE,Switzerland,30658,1892
69.04,69.71,89.75,82.23,81.17,23,TWN,Taiwan,441,7
23.22,29.9,49.45,60.73,44.01,129,TJK,Tajikistan,2140,41
60.55,11.8,50.76,43.1,42.14,119,TZA,Tanzania,509,21
37.9,59.37,48.79,45.75,75.36,121,THA,Thailand,3037,56
64.77,22.86,17.85,45.01,41.17,125,TLS,Timor-Leste,24,
50.08,12.92,49.44,43.04,36.36,159,TGO,Togo,340,12
68.96,46.97,63.12,49.38,71.83,57,TON,Tonga,,
93.91,56.29,50.27,50.02,70.35,35,TTO,Trinidad and Tobago,116,8
95.45,57.6,63.53,51.3,36.02,58,TUN,Tunisia,1045,47
78.2,59.28,44.41,39.99,58.96,108,TUR,Turkey,152587,4222
87.82,45.96,72.26,81.39,53.27,38,TKM,Turkmenistan,,
42.43,13.1,57.53,38.87,42.43,145,UGA,Uganda,264,
64.21,60.89,40.18,37.59,88.71,109,UKR,Ukraine,19706,579
72.93,63.27,54.55,27.12,29.81,77,ARE,United Arab Emirates,26004,233
94.43,100,82.87,63.06,93.09,6,GBR,United Kingdom,248293,35704
97.52,90.92,50.46,45.81,64.99,27,USA,United States of America,1593039,94941
87.49,83.37,0.01,79.01,56.76,47,URY,Uruguay,746,20
44.79,64.12,71.45,49.18,46.3,136,UZB,Uzbekistan,2950,13
61.05,28.73,73.32,28.41,43.22,144,VUT,Vanuatu,,
90.39,50.39,27.99,37.8,37.32,51,VEN,Venezuela,824,10
43.2,53.92,24.5,44.62,57.15,132,VNM,Viet Nam,324,
41.66,9.08,77.09,51.67,35.26,117,ZMB,Zambia,832,7
53.52,12.19,8.21,24.89,42.65,149,ZWE,Zimbabwe,48,4
